_.aarnavagarwal._|1
_arman_gosh_|1
_chetan_21__|1
_nirbhay_________|1
aditya__joshi12|1
i.g_kuldeepk|1
isasarfaraz7|1
lenorawrr|1
ritisha._.paliwal|1iisb_confessions|-1
jaybp2604|0
leisha_2006_|1
nallapati_abhi|-1
aryamanagrawalll|0
urja.parikh|0
_.arushhgupta._|1
khanak_77|-1
top_dawg_chirag|-1
vltnz14|0
prayush_2496|0
aashrit_11|0
anikethk1|-1
__husain_b__|0
hariprasaad2000|-1
r_rakesh_chowdary|1
__vedika.__|0
anjalii_218|0
nischal14t|0
asha_sj|-1
yuvhingarh|0
zorion132|-1
shreem_8484|0
soham9895|0
manvib999|-1
sushkl_|-1
spbhuvan_|0
griheetgriheet|-1
7neel_n7|0
pratyushmetgud|-1
